Episode  1430 : the agent has obtained an average reward of  0.48  starting from position  [1, 6]
Episode  1440 : the agent has obtained an average reward of  0.38  starting from position  [6, 1]
Episode  1450 : the agent has obtained an average reward of  0.34  starting from position  [7, 7]
Episode  1460 : the agent has obtained an average reward of  0.7  starting from position  [1, 1]
Episode  1470 : the agent has obtained an average reward of  0.5  starting from position  [0, 7]
Episode  1480 : the agent has obtained an average reward of  0.5  starting from position  [5, 2]
Episode  1490 : the agent has obtained an average reward of  0.58  starting from position  [6, 4]
Episode  1500 : the agent has obtained an average reward of  0.44  starting from position  [0, 0]
Episode  1510 : the agent has obtained an average reward of  0.52  starting from position  [5, 3]
Episode  1520 : the agent has obtained an average reward of  0.64  starting from position  [4, 3]
Episode  1530 : the agent has obtained an average reward of  0.4  starting from position  [4, 0]
Episode  1540 : the agent has obtained an average reward of  0.64  starting from position  [0, 5]
Episode  1550 : the agent has obtained an average reward of  0.36  starting from position  [8, 1]
Episode  1560 : the agent has obtained an average reward of  0.5  starting from position  [2, 4]
Episode  1570 : the agent has obtained an average reward of  0.56  starting from position  [2, 5]
Episode  1580 : the agent has obtained an average reward of  0.5  starting from position  [4, 5]
Episode  1590 : the agent has obtained an average reward of  0.62  starting from position  [3, 6]
Episode  1600 : the agent has obtained an average reward of  0.56  starting from position  [0, 9]
Episode  1610 : the agent has obtained an average reward of  0.5  starting from position  [0, 0]
Episode  1620 : the agent has obtained an average reward of  0.64  starting from position  [0, 7]
Episode  1630 : the agent has obtained an average reward of  0.68  starting from position  [6, 7]
Episode  1640 : the agent has obtained an average reward of  0.44  starting from position  [4, 7]
Episode  1650 : the agent has obtained an average reward of  0.6  starting from position  [3, 4]
Episode  1660 : the agent has obtained an average reward of  0.54  starting from position  [2, 1]
Episode  1670 : the agent has obtained an average reward of  0.54  starting from position  [9, 1]
Episode  1680 : the agent has obtained an average reward of  0.68  starting from position  [0, 9]
Episode  1690 : the agent has obtained an average reward of  0.44  starting from position  [9, 8]
Episode  1700 : the agent has obtained an average reward of  0.46  starting from position  [9, 7]
Episode  1710 : the agent has obtained an average reward of  0.48  starting from position  [9, 9]
Episode  1720 : the agent has obtained an average reward of  0.72  starting from position  [2, 0]
Episode  1730 : the agent has obtained an average reward of  0.88  starting from position  [0, 3]
Episode  1740 : the agent has obtained an average reward of  0.68  starting from position  [0, 8]
Episode  1750 : the agent has obtained an average reward of  0.78  starting from position  [0, 4]
Episode  1760 : the agent has obtained an average reward of  0.7  starting from position  [2, 0]
Episode  1770 : the agent has obtained an average reward of  0.58  starting from position  [9, 1]
Episode  1780 : the agent has obtained an average reward of  0.6  starting from position  [1, 0]
Episode  1790 : the agent has obtained an average reward of  0.5  starting from position  [9, 9]
Episode  1800 : the agent has obtained an average reward of  0.86  starting from position  [4, 2]
Episode  1810 : the agent has obtained an average reward of  0.56  starting from position  [7, 8]
Episode  1820 : the agent has obtained an average reward of  0.82  starting from position  [2, 2]
Episode  1830 : the agent has obtained an average reward of  0.8  starting from position  [4, 7]
